City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
164,ponta do sol,20.0,PT,1621177607.0,50.0,32.6667,-17.1,73.38,23.02
165,sitka,90.0,US,1621177617.0,81.0,57.0531,-135.33,42.8,8.05
166,saldanha,56.0,ZA,1621177622.0,52.0,-33.0117,17.9442,64.4,8.05
167,morros,99.0,BR,1621177628.0,45.0,-9.4467,-46.3003,84.58,8.55
168,esso,100.0,RU,1621177633.0,98.0,55.9333,158.7,32.99,6.58
169,alofi,8.0,NU,1621177638.0,100.0,-19.0595,-169.9187,73.4,5.75
170,oshawa,20.0,CA,1621177452.0,45.0,43.9001,-78.8496,62.6,2.3
171,doka,32.0,SD,1621177649.0,20.0,13.5167,35.7667,98.11,9.75
172,east london,20.0,ZA,1621177654.0,67.0,-33.0153,27.9116,62.6,16.11
173,nanortalik,85.0,GL,1621177659.0,73.0,60.1432,-45.2371,37.51,3.71
174,harper,100.0,LR,1621177664.0,70.0,4.375,-7.7169,84.36,7.54
175,bambous virieux,26.0,MU,1621177670.0,70.0,-20.3428,57.7575,78.01,7.0
176,trojes,0.0,AL,1621177675.0,46.0,41.756,19.962,71.6,5.75
177,carballo,80.0,ES,1621177452.0,64.0,43.213,-8.691,61.34,10.0
178,vladivostok,100.0,RU,1621177434.0,82.0,43.1056,131.8735,51.8,6.69
179,lagoa,100.0,PT,1621177690.0,89.0,39.05,-27.9833,63.81,15.12
180,bethel,40.0,US,1621177695.0,35.0,41.3712,-73.414,70.9,6.91
181,kruisfontein,1.0,ZA,1621177701.0,59.0,-34.0033,24.7314,61.0,7.0
182,wasilla,90.0,US,1621177690.0,81.0,61.5814,-149.4394,41.63,1.25
183,pervomayskoye,0.0,RU,1621177711.0,40.0,43.919,46.7102,72.37,23.2
184,dingle,99.0,PH,1621177716.0,82.0,10.9995,122.6711,79.93,7.07
185,kiunga,98.0,PG,1621177722.0,99.0,-6.1219,141.2906,73.89,1.21
186,kyzyl-suu,94.0,KG,1621177727.0,47.0,42.3414,78.0056,45.41,5.19
187,manali,96.0,IN,1621177732.0,79.0,13.1667,80.2667,85.17,11.5
188,san patricio,40.0,US,1621177737.0,78.0,28.017,-97.5169,78.03,10.36
189,ribeira grande,75.0,PT,1621177743.0,94.0,38.5167,-28.7,66.2,16.11
190,shetpe,0.0,KZ,1621177748.0,9.0,44.1667,52.1167,86.41,15.46
191,awassa,90.0,ET,1621177753.0,87.0,7.05,38.4667,66.15,4.92
192,abu kamal,78.0,SY,1621177758.0,9.0,34.4506,40.9171,98.85,11.95
193,estevan,1.0,CA,1621177745.0,39.0,49.1334,-102.9842,65.75,8.05
194,kone,41.0,NC,1621177769.0,88.0,-21.0595,164.8658,70.84,4.92
195,kaeo,56.0,NZ,1621177774.0,97.0,-35.1,173.7833,60.01,4.0
196,vostok,100.0,RU,1621177779.0,77.0,46.4856,135.8833,46.15,4.52
197,chapais,90.0,CA,1621177785.0,66.0,49.7834,-74.8492,50.0,4.61
198,sulangan,100.0,PH,1621177790.0,76.0,11.1373,123.7228,84.31,13.4
199,coquimbo,0.0,CL,1621177539.0,82.0,-29.9533,-71.3436,59.0,5.75
200,noicattaro,99.0,IT,1621177800.0,47.0,41.0338,16.9896,72.41,9.15
201,baculin,54.0,PH,1621177805.0,82.0,7.4525,126.5842,79.32,6.33
202,mamakan,100.0,RU,1621177811.0,68.0,57.8161,114.0028,34.66,4.99
203,norrtalje,75.0,SE,1621177816.0,58.0,59.758,18.705,54.3,12.66
204,constitucion,72.0,CL,1621177817.0,55.0,-35.3333,-72.4167,60.1,3.33
205,sakakah,0.0,SA,1621177831.0,6.0,29.9697,40.2064,100.4,9.22
206,yakeshi,65.0,CN,1621177836.0,52.0,49.2833,120.7333,53.82,8.52
207,vila velha,75.0,BR,1621177580.0,69.0,-20.3297,-40.2925,77.0,4.61
208,jacareacanga,99.0,BR,1621177847.0,48.0,-6.2222,-57.7528,89.44,4.59
209,kenai,90.0,US,1621177852.0,93.0,60.5544,-151.2583,38.43,4.09
210,zheleznodorozhnyy,0.0,RU,1621177857.0,43.0,55.7503,38.0042,73.47,2.24
211,todos santos,6.0,MX,1621177873.0,38.0,23.45,-110.2167,82.56,5.01
212,san cristobal,40.0,VE,1621177878.0,74.0,7.7669,-72.225,84.2,3.44
213,temiscaming,82.0,CA,1621177883.0,34.0,46.7212,-79.0971,64.4,2.3
214,wanning,10.0,CN,1621177888.0,91.0,18.8003,110.3967,81.37,7.49
215,kirakira,35.0,SB,1621177894.0,82.0,-10.4544,161.9205,80.74,7.31
216,saint-augustin,100.0,CA,1621177654.0,59.0,51.226000000000006,-58.6502,42.85,5.55
217,talnakh,100.0,RU,1621177904.0,96.0,69.4865,88.3972,21.61,5.1
218,tuktoyaktuk,20.0,CA,1621177909.0,80.0,69.4541,-133.0374,30.2,11.5
219,coihaique,75.0,CL,1621177915.0,87.0,-45.5752,-72.0662,41.0,6.91
220,santa rosa,20.0,PH,1621177920.0,66.0,14.3122,121.1114,85.32,10.36
221,mount isa,0.0,AU,1621177925.0,23.0,-20.7333,139.5,60.8,10.36
222,paamiut,14.0,GL,1621177930.0,53.0,61.994,-49.6678,37.36,8.93
223,baie-comeau,75.0,CA,1621177936.0,62.0,49.2168,-68.1489,51.8,8.05
224,cabo san lucas,1.0,MX,1621177809.0,56.0,22.8909,-109.9124,76.8,9.22
225,salur,5.0,IN,1621177946.0,66.0,18.5333,83.2167,86.2,6.08
226,basco,0.0,PH,1621177951.0,86.0,20.4487,121.9702,82.69,17.85
227,floro,75.0,NO,1621177956.0,87.0,61.5996,5.0328,50.0,12.66
228,esperance,99.0,AU,1621177962.0,67.0,-33.8667,121.9,55.4,10.36
229,darnah,7.0,LY,1621177967.0,70.0,32.766999999999996,22.6367,68.43,23.58
230,portland,1.0,US,1621177589.0,76.0,45.5234,-122.6762,54.97,3.44
231,payson,20.0,US,1621177880.0,58.0,40.0444,-111.7321,60.08,3.44
232,fortuna,90.0,US,1621177987.0,100.0,40.5982,-124.1573,47.62,3.02
233,xanlar,20.0,AZ,1621177993.0,21.0,40.5869,46.3158,80.6,9.22
234,srednekolymsk,15.0,RU,1621177998.0,94.0,67.45,153.6833,24.35,4.59
235,kaitangata,75.0,NZ,1621178008.0,77.0,-46.2817,169.8464,41.0,4.83
236,diphu,35.0,IN,1621178013.0,80.0,25.8333,93.4333,75.4,1.95
237,ust-nera,95.0,RU,1621178019.0,75.0,64.5667,143.2,38.84,4.79
238,huilong,100.0,CN,1621178024.0,84.0,31.8111,121.655,64.85,13.76
239,gat,6.0,IL,1621177863.0,35.0,31.61,34.7642,82.47,3.0
